datetime,open,high,low,close,volume
2023-01-02 09:15:00+05:30,813.5,814.08,811.65,812.0,177594
2023-01-02 09:20:00+05:30,812.38,812.93,811.15,812.43,128060
2023-01-02 09:25:00+05:30,812.43,812.68,809.5,810.13,95360
2023-01-02 09:30:00+05:30,810.13,812.23,809.28,812.18,68692
2023-01-02 09:35:00+05:30,812.18,814.4,811.8,814.23,87074
2023-01-02 09:40:00+05:30,814.23,814.8,813.2,814.48,83522
2023-01-02 09:45:00+05:30,814.2,816.5,814.0,815.9,151794
2023-01-02 09:50:00+05:30,815.9,816.08,815.03,815.48,29312
2023-01-02 09:55:00+05:30,815.4,816.18,815.0,816.0,41622
2023-01-02 10:00:00+05:30,816.0,816.63,816.0,816.45,57094
2023-01-02 10:05:00+05:30,816.45,816.9,815.48,816.0,41314
2023-01-02 10:10:00+05:30,816.0,816.23,815.05,815.3,17614
2023-01-02 10:15:00+05:30,815.15,816.55,815.15,816.28,21926
2023-01-02 10:20:00+05:30,816.5,817.5,816.35,817.08,42278
2023-01-02 10:25:00+05:30,817.08,817.4,815.73,815.75,30572
2023-01-02 10:30:00+05:30,815.75,817.28,815.73,817.15,63060
2023-01-02 10:35:00+05:30,817.25,818.85,817.0,818.75,78286
2023-01-02 10:40:00+05:30,818.83,818.85,817.6,817.83,19230
2023-01-02 10:45:00+05:30,817.75,817.88,816.6,816.78,26868
2023-01-02 10:50:00+05:30,816.73,817.35,815.9,817.13,34118
2023-01-02 10:55:00+05:30,817.03,817.5,816.63,816.98,18934
2023-01-02 11:00:00+05:30,816.8,818.0,816.68,817.5,41014
2023-01-02 11:05:00+05:30,817.5,819.88,817.43,818.43,215700
2023-01-02 11:10:00+05:30,818.43,819.0,817.5,817.6,105410
2023-01-02 11:15:00+05:30,817.6,817.73,817.5,817.53,34808
2023-01-02 11:20:00+05:30,817.53,817.95,816.98,817.0,131130
2023-01-02 11:25:00+05:30,817.18,817.18,814.73,816.63,127692
2023-01-02 11:30:00+05:30,816.63,816.98,815.78,816.2,14932
2023-01-02 11:35:00+05:30,816.2,816.3,815.5,815.93,29662
2023-01-02 11:40:00+05:30,815.93,816.18,815.65,815.88,18396
2023-01-02 11:45:00+05:30,815.88,816.23,815.38,815.4,21702
2023-01-02 11:50:00+05:30,815.4,815.68,814.53,814.75,24802
2023-01-02 11:55:00+05:30,814.83,815.5,814.75,814.78,19106
2023-01-02 12:00:00+05:30,814.78,815.68,814.78,815.68,25650
2023-01-02 12:05:00+05:30,815.75,816.13,815.6,816.13,40838
2023-01-02 12:10:00+05:30,816.13,816.25,815.75,815.98,34050
2023-01-02 12:15:00+05:30,815.98,816.25,815.75,815.75,33170
2023-01-02 12:20:00+05:30,815.75,816.0,815.6,815.6,31112
2023-01-02 12:25:00+05:30,815.6,815.6,814.05,814.13,63238
2023-01-02 12:30:00+05:30,814.13,815.0,814.1,814.8,41548
2023-01-02 12:35:00+05:30,814.88,814.93,813.53,813.7,32818
2023-01-02 12:40:00+05:30,813.65,814.18,813.55,813.93,33962
2023-01-02 12:45:00+05:30,813.93,814.2,813.5,813.83,39652
2023-01-02 12:50:00+05:30,813.83,814.4,813.78,813.78,33454
2023-01-02 12:55:00+05:30,813.75,814.33,813.75,814.0,29130
2023-01-02 13:00:00+05:30,814.0,814.98,813.8,814.63,40002
2023-01-02 13:05:00+05:30,814.5,814.95,814.48,814.65,26680
2023-01-02 13:10:00+05:30,814.68,815.3,814.53,814.8,46684
2023-01-02 13:15:00+05:30,814.78,815.25,814.6,815.0,30088
2023-01-02 13:20:00+05:30,815.0,815.35,814.28,814.38,48160
2023-01-02 13:25:00+05:30,814.38,814.5,813.9,814.08,37950
2023-01-02 13:30:00+05:30,814.08,814.28,813.13,813.53,47430
2023-01-02 13:35:00+05:30,813.25,814.35,813.1,813.78,36282
2023-01-02 13:40:00+05:30,813.73,814.15,813.13,813.33,30716
2023-01-02 13:45:00+05:30,813.33,813.9,813.23,813.53,37850
