datetime,open,high,low,close,volume
2023-01-02 09:15:00+05:30,1001.4,1001.4,995.0,995.95,32075
2023-01-02 09:20:00+05:30,995.6,996.9,994.05,994.8,19230
2023-01-02 09:25:00+05:30,994.85,995.25,991.1,992.25,27917
2023-01-02 09:30:00+05:30,992.2,992.8,990.1,990.7,21985
2023-01-02 09:35:00+05:30,990.2,991.5,989.0,989.75,23063
2023-01-02 09:40:00+05:30,989.5,990.0,987.2,988.95,27221
2023-01-02 09:45:00+05:30,988.65,990.3,988.5,989.35,35161
2023-01-02 09:50:00+05:30,989.15,990.45,988.25,988.65,13187
2023-01-02 09:55:00+05:30,988.5,990.4,988.0,990.35,26156
2023-01-02 10:00:00+05:30,990.9,993.4,989.0,993.0,39564
2023-01-02 10:05:00+05:30,993.0,993.55,992.35,992.5,15753
2023-01-02 10:10:00+05:30,992.9,995.0,992.4,994.2,16844
2023-01-02 10:15:00+05:30,994.45,996.55,994.1,995.75,22969
2023-01-02 10:20:00+05:30,996.35,997.85,995.5,997.4,19035
2023-01-02 10:25:00+05:30,997.05,997.4,995.5,996.75,15228
2023-01-02 10:30:00+05:30,997.0,997.5,996.2,996.55,12753
2023-01-02 10:35:00+05:30,996.55,998.5,995.75,997.6,14179
2023-01-02 10:40:00+05:30,997.1,998.55,997.0,998.3,9209
2023-01-02 10:45:00+05:30,997.9,998.3,996.8,997.0,9720
2023-01-02 10:50:00+05:30,997.0,997.65,995.85,996.7,10187
2023-01-02 10:55:00+05:30,996.4,996.65,995.85,995.85,7640
2023-01-02 11:00:00+05:30,995.85,997.55,995.75,996.95,13063
2023-01-02 11:05:00+05:30,996.4,996.95,995.3,996.0,8958
2023-01-02 11:10:00+05:30,995.8,997.0,995.55,996.65,10774
2023-01-02 11:15:00+05:30,996.1,997.5,996.0,997.25,70640
2023-01-02 11:20:00+05:30,997.2,997.5,996.45,997.0,7877
2023-01-02 11:25:00+05:30,996.7,997.45,996.3,997.0,28128
2023-01-02 11:30:00+05:30,997.4,997.7,997.0,997.0,13208
2023-01-02 11:35:00+05:30,997.2,997.5,997.0,997.0,14878
2023-01-02 11:40:00+05:30,997.0,999.0,997.0,998.5,23314
2023-01-02 11:45:00+05:30,998.4,999.45,998.0,999.0,15709
2023-01-02 11:50:00+05:30,998.8,999.75,998.55,999.2,12305
2023-01-02 11:55:00+05:30,999.2,1000.2,998.7,999.65,24066
2023-01-02 12:00:00+05:30,999.65,1000.45,999.3,1000.25,21148
2023-01-02 12:05:00+05:30,1000.15,1000.65,999.15,999.35,16500
2023-01-02 12:10:00+05:30,999.35,1000.8,999.0,1000.6,30108
2023-01-02 12:15:00+05:30,1000.05,1001.0,999.2,1000.1,14539
2023-01-02 12:20:00+05:30,999.65,1000.5,998.5,999.0,22040
2023-01-02 12:25:00+05:30,999.0,999.0,997.4,997.8,18071
2023-01-02 12:30:00+05:30,997.8,998.5,997.15,997.9,20943
2023-01-02 12:35:00+05:30,997.7,998.95,997.15,997.85,17325
2023-01-02 12:40:00+05:30,997.45,997.9,996.2,996.8,19906
2023-01-02 12:45:00+05:30,996.8,997.7,996.05,997.0,18772
2023-01-02 12:50:00+05:30,996.45,997.4,996.1,996.6,17575
2023-01-02 12:55:00+05:30,996.0,996.8,995.75,996.6,57488
2023-01-02 13:00:00+05:30,996.65,997.15,996.0,996.7,18787
2023-01-02 13:05:00+05:30,997.05,997.45,996.5,997.05,35928
2023-01-02 13:10:00+05:30,996.85,997.65,996.4,997.3,18140
2023-01-02 13:15:00+05:30,997.15,997.5,996.55,997.15,18062
2023-01-02 13:20:00+05:30,997.2,998.1,996.6,997.4,21294
2023-01-02 13:25:00+05:30,996.85,998.7,996.8,997.85,22447
2023-01-02 13:30:00+05:30,997.25,998.5,996.6,997.1,17343
2023-01-02 13:35:00+05:30,997.3,997.75,996.75,996.95,20608
2023-01-02 13:40:00+05:30,996.9,997.75,996.3,997.25,16575
2023-01-02 13:45:00+05:30,996.6,997.6,996.4,997.1,16320
2023-01-02 13:50:00+05:30,996.75,997.5,996.4,997.05,16953
2023-01-02 13:55:00+05:30,996.75,998.05,996.7,997.15,15528
2023-01-02 14:00:00+05:30,997.5,998.75,996.6,998.0,24371
2023-01-02 14:05:00+05:30,997.45,998.75,996.3,998.4,17733
2023-01-02 14:10:00+05:30,998.4,999.25,998.0,999.25,18058
2023-01-02 14:15:00+05:30,998.7,999.1,996.65,997.0,18017
2023-01-02 14:20:00+05:30,997.0,997.45,996.05,997.15,15477
2023-01-02 14:25:00+05:30,996.7,999.45,996.5,998.65,19765
2023-01-02 14:30:00+05:30,998.25,1000.5,998.05,1000.5,26552
2023-01-02 14:35:00+05:30,1000.2,1000.6,998.6,999.7,18916
2023-01-02 14:40:00+05:30,999.95,1000.15,998.7,999.25,18350
2023-01-02 14:45:00+05:30,999.2,1000.05,998.3,999.3,32006
2023-01-02 14:50:00+05:30,999.3,1000.75,999.1,1000.05,22206
