symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,exit_reason,gross_pnl,costs,net_pnl,capital_after
NSE:MARUTI-EQ,long,2023-01-02T12:27:00+05:30,8420.5,2023-01-02T12:30:00+05:30,8403.659,5,stoploss,-84.205,109.589,-193.794,49806.206
NSE:SUNPHARMA-EQ,long,2023-01-02T12:24:00+05:30,998.6,2023-01-02T12:42:00+05:30,996.6028,50,stoploss,-99.86,121.1881,-221.0481,49778.9519
NSE:ICICIBANK-EQ,long,2023-01-02T12:27:00+05:30,903.9,2023-01-02T12:51:00+05:30,902.0922,55,stoploss,-99.429,120.8688,-220.2978,49779.7022
NSE:BAJFINANCE-EQ,long,2023-01-02T12:27:00+05:30,655.17,2023-01-02T13:03:00+05:30,657.7907,76,target,199.1717,121.2215,77.9502,50077.9502
NSE:LT-EQ,short,2023-01-02T12:42:00+05:30,2089.2,2023-01-02T13:09:00+05:30,2093.3784,23,stoploss,-96.1032,118.5472,-214.6504,49564.3015
NSE:KOTAKBANK-EQ,short,2023-01-02T13:03:00+05:30,365.01,2023-01-02T13:12:00+05:30,365.74,136,stoploss,-99.2827,120.9077,-220.1904,49857.7598
NSE:ASIANPAINT-EQ,long,2023-01-02T13:21:00+05:30,3047.3,2023-01-02T13:24:00+05:30,3041.2054,16,stoploss,-97.5136,119.4496,-216.9632,49640.7966
NSE:INFY-EQ,long,2023-01-02T12:27:00+05:30,1517.4,2023-01-02T13:27:00+05:30,1523.4696,32,target,194.2272,119.3839,74.8433,50074.8433
NSE:LT-EQ,long,2023-01-02T13:27:00+05:30,2091.25,2023-01-02T13:33:00+05:30,2087.0675,23,stoploss,-96.1975,118.4745,-214.672,49860.1713
NSE:AXISBANK-EQ,short,2023-01-02T12:30:00+05:30,937.75,2023-01-02T13:57:00+05:30,933.999,53,target,198.803,120.7896,78.0134,49884.2194
NSE:BAJFINANCE-EQ,long,2023-01-02T13:33:00+05:30,656.0,2023-01-02T13:57:00+05:30,654.688,76,stoploss,-99.712,121.0784,-220.7904,49639.3809
NSE:LT-EQ,short,2023-01-02T13:54:00+05:30,2085.6,2023-01-02T13:57:00+05:30,2089.7712,23,stoploss,-95.9376,118.4242,-214.3618,49645.8095
NSE:KOTAKBANK-EQ,short,2023-01-02T13:15:00+05:30,365.58,2023-01-02T14:15:00+05:30,364.1177,136,target,198.8755,120.8164,78.0591,49935.8189
NSE:RELIANCE-EQ,long,2023-01-02T13:18:00+05:30,1282.1,2023-01-02T14:15:00+05:30,1279.5358,38,stoploss,-97.4396,119.3948,-216.8344,49640.9254
NSE:INFY-EQ,long,2023-01-02T13:45:00+05:30,1522.7,2023-01-02T14:15:00+05:30,1519.6546,32,stoploss,-97.4528,119.4046,-216.8574,49643.314
NSE:TCS-EQ,long,2023-01-02T12:24:00+05:30,3252.55,2023-01-02T14:18:00+05:30,3246.0449,15,stoploss,-97.5765,119.4962,-217.0727,49782.9273
NSE:WIPRO-EQ,long,2023-01-02T13:18:00+05:30,196.25,2023-01-02T14:18:00+05:30,195.8575,254,stoploss,-99.695,121.0658,-220.7608,49636.999
NSE:SBIN-EQ,short,2023-01-02T12:30:00+05:30,614.0,2023-01-02T14:30:00+05:30,611.544,81,target,198.936,120.8388,78.0972,49884.3032
NSE:ICICIBANK-EQ,short,2023-01-02T13:51:00+05:30,901.6,2023-01-02T14:45:00+05:30,903.4032,55,stoploss,-99.176,120.8284,-220.0044,49640.1669
NSE:TITAN-EQ,short,2023-01-02T13:51:00+05:30,2565.85,2023-01-02T14:45:00+05:30,2570.9817,19,stoploss,-97.5023,119.5859,-217.0882,49643.0831
NSE:HDFCBANK-EQ,short,2023-01-02T12:33:00+05:30,814.98,2023-01-02T15:15:00+05:30,815.1,61,time_exit,-7.32,120.9515,-128.2715,49677.9345
NSE:MARUTI-EQ,short,2023-01-02T12:42:00+05:30,8405.0,2023-01-02T15:15:00+05:30,8403.3,5,time_exit,8.5,109.5348,-101.0348,49677.9171
NSE:ASIANPAINT-EQ,long,2023-01-02T15:15:00+05:30,3044.9,2023-01-02T15:18:00+05:30,3048.65,16,time_exit,60.0,119.5174,-59.5174,49618.3997
NSE:TCS-EQ,long,2023-01-02T15:27:00+05:30,3265.05,2023-01-03T09:15:00+05:30,3258.5199,15,stoploss,-97.9515,119.7741,-217.7256,49400.6741
NSE:ASIANPAINT-EQ,long,2023-01-02T15:27:00+05:30,3049.85,2023-01-03T09:15:00+05:30,3043.7503,16,stoploss,-97.5952,119.5101,-217.1053,49401.2944
NSE:ASIANPAINT-EQ,long,2023-01-03T10:12:00+05:30,3055.65,2023-01-03T10:18:00+05:30,3049.5387,16,stoploss,-97.7808,119.6476,-217.4284,49183.8661
NSE:LT-EQ,long,2023-01-03T10:30:00+05:30,2092.8,2023-01-03T10:48:00+05:30,2088.6144,23,stoploss,-96.2688,118.5273,-214.7961,48969.0699
NSE:SUNPHARMA-EQ,long,2023-01-03T10:45:00+05:30,1000.0,2023-01-03T10:48:00+05:30,998.0,49,stoploss,-98.0,119.81,-217.81,48966.0561
NSE:HDFCBANK-EQ,long,2023-01-03T10:06:00+05:30,815.28,2023-01-03T10:51:00+05:30,818.5411,60,target,195.6672,119.9191,75.7481,49477.0426
NSE:ICICIBANK-EQ,long,2023-01-03T10:06:00+05:30,903.3,2023-01-03T10:54:00+05:30,901.4934,54,stoploss,-97.5564,119.4813,-217.0377,49184.2567
NSE:RELIANCE-EQ,long,2023-01-03T10:45:00+05:30,1282.97,2023-01-03T11:27:00+05:30,1280.4041,38,stoploss,-97.5057,119.4438,-216.9495,48966.9166
NSE:INFY-EQ,long,2023-01-03T10:06:00+05:30,1526.05,2023-01-03T11:36:00+05:30,1532.1542,32,target,195.3344,119.7954,75.539,49476.8334
NSE:INFY-EQ,long,2023-01-03T11:45:00+05:30,1531.1,2023-01-03T11:57:00+05:30,1528.0378,32,stoploss,-97.9904,119.8029,-217.7933,49259.0402
NSE:HDFCBANK-EQ,long,2023-01-03T11:36:00+05:30,818.88,2023-01-03T12:12:00+05:30,817.2422,59,stoploss,-96.6278,118.7933,-215.4212,49261.4123
NSE:SUNPHARMA-EQ,long,2023-01-03T10:51:00+05:30,997.5,2023-01-03T12:18:00+05:30,995.505,49,stoploss,-97.755,119.6285,-217.3835,49259.6591
NSE:WIPRO-EQ,long,2023-01-03T11:06:00+05:30,197.33,2023-01-03T12:21:00+05:30,196.9353,249,stoploss,-98.2703,120.0103,-218.2806,48965.9761
NSE:RELIANCE-EQ,short,2023-01-03T11:57:00+05:30,1280.0,2023-01-03T12:21:00+05:30,1274.88,38,target,194.56,119.219,75.341,49334.3812
NSE:SBIN-EQ,short,2023-01-03T11:57:00+05:30,613.1,2023-01-03T12:30:00+05:30,610.6476,80,target,196.192,119.8231,76.3689,49335.4091
NSE:AXISBANK-EQ,long,2023-01-03T11:15:00+05:30,951.95,2023-01-03T12:33:00+05:30,950.0461,51,stoploss,-97.0989,119.1424,-216.2413,48968.0155
NSE:TITAN-EQ,long,2023-01-03T10:54:00+05:30,2577.7,2023-01-03T12:45:00+05:30,2572.5446,19,stoploss,-97.9526,119.7749,-217.7275,48966.5292
NSE:ASIANPAINT-EQ,short,2023-01-03T12:03:00+05:30,3041.55,2023-01-03T12:48:00+05:30,3029.3838,16,target,194.6592,119.2557,75.4035,49334.4437
NSE:TITAN-EQ,short,2023-01-03T13:00:00+05:30,2571.05,2023-01-03T13:03:00+05:30,2576.1921,19,stoploss,-97.6999,119.7326,-217.4325,49117.0112
NSE:INFY-EQ,short,2023-01-03T12:51:00+05:30,1526.05,2023-01-03T13:30:00+05:30,1529.1021,32,stoploss,-97.6672,119.7083,-217.3755,49117.0682
